parent_cell,parent_x,parent_y,parent_z,daughter1,daughter2,birth_time,cell_size,size_category,time_category,generation
Caaaa,443.09971735,252.42628365,15.55064713875,hyp7,hyp7,220.0,510.19428732536204,medium,mid,7
Cpaap,490.1382874,262.9152498,15.45060406625,hyp7,hyp7,220.0,556.4159330202663,large,mid,7
ABalaappp,246.583760657143,270.810421642857,15.2679898942857,ABalaapppp,ABalaapppa,220.0,366.5718851816288,medium,mid,8
ABalppapa,254.5924837125,233.8286718125,14.92245102375,ABalppapap,ABalppapaa,220.0,345.99979778759064,medium,mid,8
ABarappap,328.3410838375,266.2012889375,14.54864716625,ABarappapp,ABarappapa,220.0,422.9452171403982,medium,mid,8
ABarapppa,299.7410894625,270.7511562,14.7246597525,ABarapppap,ABarapppaa,220.0,404.1877347231483,medium,mid,8
ABplapaaa,335.7859538625,241.380663025,15.58919644625,ABplapaaaa,ABplapaaap,220.0,413.8355402083989,medium,mid,8
ABplppppp,434.6017287875,237.637005825,14.9630238575,ABplpppppp,ABplpppppa,220.0,495.5541355750297,medium,mid,8
ABpraaapp,310.237516325,278.1830907125,15.08115305875,ABpraaappa,ABpraaappp,220.0,416.9659334663266,medium,mid,8
ABprpaapp,371.3023563,280.697377575,14.87553621,ABprpaappp,ABprpaappa,220.0,465.70134115004356,medium,mid,8
ABprpapap,374.349602875,268.7215373125,14.57011324,ABprpapapa,ABprpapapp,220.0,461.04357493418127,medium,mid,8
ABprpappa,381.6623097625,264.397168875,14.4464844775,ABprpappap,ABprpappaa,220.0,464.5219935763219,medium,mid,8
Caaap,485.438481575,248.4232965625,15.6102085025,hyp7,hyp7,222.0,545.534904729581,large,mid,7
Cpaaa,444.4665050375,265.80457795,15.47470474875,hyp7,hyp7,222.0,518.1139008427477,large,mid,7
ABpraappp,398.51988835,279.9459937875,15.0986842025,hyp7,hyp7,223.0,487.25335413192823,medium,mid,8
ABprapapa,451.1415924375,278.251889575,15.33475914375,P10,ABprapapaa,223.0,530.2716335210645,large,mid,8
ABprapapp,484.180415925,272.1804094875,15.25043192375,P12,ABprapappp,223.0,555.6486535104266,large,mid,8
ABprappaa,434.2275040375,278.811199625,14.9677297925,P6,P4,223.0,516.2492065215306,large,mid,8
ABprappap,467.5914143125,274.8727194875,14.99446652,P8,V3R,223.0,542.6062814633068,large,mid,8
