source_id,target_id,source_name,target_name,type,timepoints_present,first_appearance,last_appearance,timepoint_list
165,118,RIH,GLRL,chemical,4,1,7,"[np.int64(1), np.int64(5), np.int64(6), np.int64(7)]"
165,132,RIH,IL2L,chemical,5,1,8,"[np.int64(1), np.int64(4), np.int64(5), np.int64(7), np.int64(8)]"
166,43,RIML,AVAR,chemical,3,1,6,"[np.int64(1), np.int64(2), np.int64(6)]"
166,81,RIML,BWM-DR04,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(8)]"
166,190,RIML,SAADL,chemical,4,1,8,"[np.int64(1), np.int64(6), np.int64(7), np.int64(8)]"
167,156,RIMR,RIBL,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(8)]"
167,171,RIMR,RIS,chemical,3,1,8,"[np.int64(1), np.int64(4), np.int64(8)]"
167,177,RIMR,RMDR,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
167,191,RIMR,SAADR,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(8)]"
170,149,RIR,PVPR,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
171,208,RIS,SMDDL,chemical,5,1,8,"[np.int64(1), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
172,121,RIVL,GLRVR,chemical,5,1,6,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(6)]"
172,165,RIVL,RIH,chemical,3,1,6,"[np.int64(1), np.int64(2), np.int64(6)]"
172,173,RIVL,RIVR,electrical,6,1,7,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(6), np.int64(7)]"
172,176,RIVL,RMDL,chemical,5,1,8,"[np.int64(1), np.int64(4), np.int64(6), np.int64(7), np.int64(8)]"
172,178,RIVL,RMDVL,chemical,6,1,8,"[np.int64(1), np.int64(3), np.int64(5), np.int64(6), np.int64(7), np.int64(8)]"
173,120,RIVR,GLRVL,chemical,6,1,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)]"
174,175,RMDDL,RMDDR,electrical,5,1,8,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5), np.int64(8)]"
176,133,RMDL,IL2R,chemical,6,1,7,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6), np.int64(7)]"
176,174,RMDL,RMDDL,chemical,5,1,7,"[np.int64(1), np.int64(2), np.int64(5), np.int64(6), np.int64(7)]"
176,178,RMDL,RMDVL,chemical,3,1,8,"[np.int64(1), np.int64(5), np.int64(8)]"
176,179,RMDL,RMDVR,chemical,6,1,7,"[np.int64(1), np.int64(2), np.int64(4), np.int64(5), np.int64(6), np.int64(7)]"
177,132,RMDR,IL2L,chemical,5,1,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(5), np.int64(6)]"
177,136,RMDR,OLLL,chemical,5,1,7,"[np.int64(1), np.int64(3), np.int64(4), np.int64(6), np.int64(7)]"
177,211,RMDR,SMDVR,electrical,2,1,4,"[np.int64(1), np.int64(4)]"
183,174,RMEV,RMDDL,chemical,6,1,6,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(6)]"
183,175,RMEV,RMDDR,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(3), np.int64(4), np.int64(5), np.int64(8)]"
183,180,RMEV,RMED,chemical,4,1,6,"[np.int64(1), np.int64(3), np.int64(4), np.int64(6)]"
191,136,SAADR,OLLL,chemical,2,1,8,"[np.int64(1), np.int64(8)]"
204,174,SMBDL,RMDDL,chemical,4,1,8,"[np.int64(1), np.int64(5), np.int64(7), np.int64(8)]"
206,118,SMBVL,GLRL,chemical,3,1,5,"[np.int64(1), np.int64(2), np.int64(5)]"
206,179,SMBVL,RMDVR,chemical,6,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(6), np.int64(7), np.int64(8)]"
208,70,SMDDL,BWM-DL01,chemical,2,1,4,"[np.int64(1), np.int64(4)]"
208,177,SMDDL,RMDR,chemical,5,1,8,"[np.int64(1), np.int64(3), np.int64(6), np.int64(7), np.int64(8)]"
209,80,SMDDR,BWM-DR03,chemical,2,1,5,"[np.int64(1), np.int64(5)]"
209,103,SMDDR,CEPDL,chemical,4,1,7,"[np.int64(1), np.int64(3), np.int64(5), np.int64(7)]"
210,211,SMDVL,SMDVR,electrical,2,1,4,"[np.int64(1), np.int64(4)]"
211,105,SMDVR,CEPVL,chemical,3,1,8,"[np.int64(1), np.int64(7), np.int64(8)]"
212,124,URADL,IL1DL,chemical,5,1,8,"[np.int64(1), np.int64(2), np.int64(4), np.int64(7), np.int64(8)]"
