timepoint,node,betweenness,degree_centrality,closeness,weighted_in_degree,weighted_out_degree,total_weighted_degree,node_type
5,URAVR,0.0027499526156207306,0.06666666666666668,0.40152963671128106,8,19,27,motor
5,URBL,0.006710490710907955,0.08095238095238096,0.41749502982107356,9,18,27,sensory
5,URBR,0.006406685697852525,0.08095238095238096,0.4294478527607362,6,23,29,sensory
5,URXL,0.006418603869036945,0.09523809523809525,0.4430379746835443,18,44,62,sensory
5,URXR,0.013748340190044448,0.09523809523809525,0.4421052631578947,20,42,62,sensory
5,URYDL,0.004191200515953574,0.05714285714285715,0.4225352112676056,4,23,27,sensory
5,URYDR,0.008197966828895762,0.1,0.445859872611465,10,25,35,sensory
5,URYVL,0.002314148993635351,0.06666666666666668,0.42424242424242425,8,16,24,sensory
5,URYVR,0.0016204682625455486,0.06190476190476191,0.4375,9,19,28,sensory
5,excgl,0.0,0.0,0.0,0,0,0,unknown
6,ADAL,0.03035155107281078,0.10697674418604651,0.4369918699186992,13,31,44,inter
6,ADAR,0.018698626451321653,0.11162790697674418,0.4555084745762712,16,41,57,inter
6,ADEL,0.013035211242380369,0.11627906976744186,0.4497907949790795,9,29,38,modulatory
6,ADER,0.01419417061785664,0.10697674418604651,0.43610547667342797,7,24,31,modulatory
6,ADFL,0.005454636409022388,0.08837209302325581,0.42828685258964144,22,38,60,sensory
6,ADFR,0.00874589433587641,0.06976744186046512,0.4274353876739563,18,24,42,sensory
6,ADLL,0.010764675923824227,0.12558139534883722,0.4497907949790795,5,45,50,sensory
6,ADLR,0.0014628063123361462,0.06511627906976744,0.4048964218455744,2,25,27,sensory
6,AFDL,0.00034693342915312835,0.03255813953488372,0.3501628664495114,8,5,13,sensory
6,AFDR,0.001119711630530723,0.04186046511627907,0.34455128205128205,12,13,25,sensory
6,AIAL,0.04873497620351776,0.13023255813953488,0.3996282527881041,61,30,91,inter
6,AIAR,0.028732466998158724,0.13023255813953488,0.4064272211720227,83,34,117,inter
6,AIBL,0.020740113754980534,0.14418604651162792,0.46637744034707157,96,28,124,inter
6,AIBR,0.026688261337919003,0.14418604651162792,0.47045951859956237,87,39,126,inter
6,AIML,0.001499623619623625,0.046511627906976744,0.3391167192429022,4,17,21,modulatory
6,AIMR,0.005896716023971132,0.07906976744186046,0.4126679462571977,9,29,38,modulatory
6,AINL,0.0018252735198499629,0.04186046511627907,0.3930530164533821,2,20,22,inter
6,AINR,0.003947588140810992,0.06046511627906977,0.40186915887850466,4,27,31,inter
6,AIYL,0.007015513220324926,0.08372093023255814,0.3996282527881041,29,24,53,inter
6,AIYR,0.006167392467440303,0.08837209302325581,0.40111940298507465,43,21,64,inter
6,AIZL,0.03356457007326865,0.17209302325581394,0.4919908466819222,59,81,140,inter
6,AIZR,0.026748689655207703,0.12558139534883722,0.46436285097192226,52,70,122,inter
6,ALA,0.0,0.018604651162790697,0.3601340033500838,0,5,5,modulatory
6,ALML,0.0016204521068234944,0.06046511627906977,0.3887884267631103,1,24,25,sensory
6,ALMR,0.0022044352603054237,0.05581395348837209,0.38461538461538464,4,24,28,sensory
6,ALNL,0.0,0.013953488372093023,0.3518821603927987,0,9,9,sensory
6,ALNR,0.0019164016683500048,0.03255813953488372,0.38669064748201437,3,7,10,sensory
6,AQR,0.006409705003369427,0.10232558139534884,0.4405737704918033,7,42,49,sensory
6,ASEL,0.0030599101608803792,0.06511627906976744,0.38738738738738737,7,33,40,sensory
6,ASER,0.0031247948202409973,0.07441860465116279,0.38669064748201437,10,39,49,sensory
6,ASGL,0.00027119848778939465,0.027906976744186046,0.33965244865718797,6,8,14,sensory
6,ASGR,0.00015233535972936413,0.03255813953488372,0.3530377668308703,10,11,21,sensory
6,ASHL,0.023516207591274294,0.11162790697674418,0.45263157894736844,16,55,71,sensory
6,ASHR,0.011025005983007239,0.10232558139534884,0.4334677419354839,12,42,54,sensory
6,ASIL,0.003136847753840711,0.05581395348837209,0.36317567567567566,5,20,25,sensory
6,ASIR,0.005541592770051382,0.07441860465116279,0.4142581888246628,2,27,29,sensory
6,ASJL,0.003589622843046012,0.023255813953488372,0.31341107871720114,4,15,19,sensory
6,ASJR,0.0036622222473124454,0.027906976744186046,0.324773413897281,4,8,12,sensory
6,ASKL,0.00676251553277866,0.05116279069767442,0.3530377668308703,17,20,37,sensory
6,ASKR,0.011979129788412037,0.046511627906976744,0.3530377668308703,13,29,42,sensory
6,AUAL,0.0016784526952816619,0.05581395348837209,0.4240631163708087,16,19,35,sensory
6,AUAR,0.0017050342054150038,0.06976744186046512,0.41505791505791506,23,30,53,sensory
6,AVAL,0.00801353295623879,0.13953488372093023,0.46943231441048033,80,6,86,inter
6,AVAR,0.0053883269062313935,0.14883720930232558,0.46943231441048033,80,3,83,inter
6,AVBL,0.0043442330222482175,0.12558139534883722,0.4584221748400853,90,3,93,inter
6,AVBR,0.008652386074030467,0.12558139534883722,0.4603854389721627,80,1,81,inter
6,AVDL,0.005495043251709393,0.09302325581395349,0.4291417165668663,30,3,33,inter
6,AVDR,0.008623201875822236,0.08837209302325581,0.42322834645669294,32,5,37,inter
6,AVEL,0.02350794063025546,0.15348837209302324,0.5046948356807511,84,9,93,inter
6,AVER,0.012432148667538266,0.15813953488372093,0.4919908466819222,97,6,103,inter
6,AVFL,6.0125584360876465e-05,0.03255813953488372,0.349025974025974,8,1,9,modulatory
6,AVFR,0.00021089614564258685,0.037209302325581395,0.3501628664495114,8,4,12,modulatory
6,AVHL,0.0026930303274437773,0.04186046511627907,0.38738738738738737,3,8,11,modulatory
6,AVHR,0.009648356965574308,0.07906976744186046,0.4166666666666667,5,22,27,modulatory
6,AVJL,0.003005991054225025,0.06511627906976744,0.40262172284644193,17,7,24,modulatory
6,AVJR,0.004542707979206252,0.07906976744186046,0.4071969696969697,18,9,27,modulatory
6,AVKL,0.0062175282445674695,0.10232558139534884,0.4603854389721627,19,20,39,modulatory
6,AVKR,0.008567164826398405,0.10232558139534884,0.4460580912863071,22,17,39,modulatory
6,AVL,0.0,0.009302325581395349,0.3412698412698413,3,0,3,modulatory
6,AVM,0.01325462337915019,0.09302325581395349,0.4071969696969697,9,28,37,sensory
6,AWAL,0.0009349532432596302,0.05116279069767442,0.3694158075601375,3,23,26,sensory
6,AWAR,0.001644215462298674,0.06046511627906977,0.36752136752136755,5,19,24,sensory
6,AWBL,0.0049568457782716725,0.06046511627906977,0.4166666666666667,9,21,30,sensory
6,AWBR,0.0035055221599419764,0.06976744186046512,0.41346153846153844,10,27,37,sensory
6,AWCL,0.002387797552497974,0.07906976744186046,0.39594843462246776,19,36,55,sensory
6,AWCR,0.013679453566193753,0.09767441860465116,0.39377289377289376,37,37,74,sensory
6,BAGL,0.005812041208282965,0.08837209302325581,0.4334677419354839,21,34,55,sensory
6,BAGR,0.003731387102325612,0.07906976744186046,0.43434343434343436,22,24,46,sensory
6,BDUL,0.005803112059455286,0.06046511627906977,0.39162112932604737,9,12,21,inter
6,BDUR,0.0030537630433023553,0.06046511627906977,0.3966789667896679,8,16,24,inter
6,BWM-DL01,0.0,0.037209302325581395,0.3785211267605634,25,0,25,muscle
6,BWM-DL02,0.0,0.037209302325581395,0.3637901861252115,37,0,37,muscle
6,BWM-DL03,0.0,0.023255813953488372,0.37132987910189985,13,0,13,muscle
6,BWM-DL04,0.0,0.037209302325581395,0.3944954128440367,18,0,18,muscle
